Code;Libellé;Libellé court;Format;Taux plafonné;Taux déplafonné;Taux AT;Date d'effet;Date de fin;Spécificité
'070';RR CHOMAGE CSG-CRDS TAUX REDUIT;RR CHOM.TX RT;E;;4.3;;2021-01-01;;
'080';RR IJSS DE BASE TAUX PLEIN;RR IJSS B TX PN;E;;6.7;;2021-01-01;;
'260';CSG CRDS REGIME GENERAL;CSG CRDS;E;;3.9;;1940-01-01;1997-01-10;
'274';CSG CRDS REG.SPECIAUX (PART.ACTIF);CSG REG SPEC;E;;9.7;;2021-01-01;;
'284';CSG CRDS ELUS LOCAUX;CSG ELUS;E;;3.9;;1940-01-01;1997-01-10;
'385';SERVICE CIVIQUE VOLONTARIAT CSG-CRDS OM;S.CIVIQUE VOL.CSG;E;;9.7;;2021-01-01;;
'651';RR RETRAITE COMPLEMENTAIRE TX MED;RR RET. C TX MD;E;;7.1;;2021-01-01;;
'811';REM.VERSEES PAR TIERS CONTRIB.LIBERA AL;REM.TIERS CONTR.LIB.;D;6.54;12.42;1.04;2021-01-01;;
'034';RR RETRAITE BASE TAUX REDUIT;RR RET.B TX RT;E;;4.3;;2021-01-01;;
'036';RR RETRAITE COMPLEMENTAIRE TX PLE;RR RET.C TX PN;E;;8.8;;2021-01-01;;
'037';RR RETRAITE COMPLEMENTAIRE TX RED;RR RET.C TX RT;E;;4.3;;2021-01-01;;
'041';RR PRERETRAITE AV 11/10/2007 TX PLN;RR PRERET.2007 TP;E;;8.8;;2021-01-01;;
'060';RR CHOMAGE CSG-CRDS TAUX PLEIN;RR CHOM.TX PN;E;;6.7;;2021-01-01;;
'234';CSG/CRDS DETENUS;CSG CRDS DET;E;;9.7;;2021-01-01;;
'260';CSG CRDS REGIME GENERAL;CSG CRDS;E;;9.7;;2021-01-01;;
'274';CSG CRDS REG.SPECIAUX (PART.ACTIF);CSG REG SPEC;E;;3.9;;1940-01-01;1997-01-10;
'284';CSG CRDS ELUS LOCAUX;CSG ELUS;E;;9.7;;2021-01-01;;
'377';RR IJSS COMPLEMENTAIRE TX REDUIT;RR IJSS C TX RT;E;;4.3;;2021-01-01;;
'389';RR INVALIDITE DE BASE TAUX PLEIN;RR INV.B TX PN;E;;8.8;;2021-01-01;;
'399';RR INVALIDITE COMPLEMENTAIRE TX PLE;RR INV.C TX PN;E;;8.8;;2021-01-01;;
'440';RR INVALIDITE COMPLEMENTAIRE TX RED;RR INV.C TX RT;E;;4.3;;2021-01-01;;
'548';CAISSES CP SECT BAT TP-METROPOLE;CCP SEC BAT TP METRO;E;2.05;3.04;;2021-01-01;;
'549';CAISSES CP SECT BAT TP - DOM OM;CCP SECT BAT TP DOM;E;1.42;2.13;;2021-01-01;;
'594';SERVICE CIVIQUE VOLONTARIAT CSG-CRDS;S.CIVIQUE VOL.CSG;E;;9.7;;2021-01-01;;
'650';RR RETRAITE BASE TAUX MEDIAN;RR RET.B TX MD;E;;7.1;;2021-01-01;;
'802';REM.VERSEES PAR TIERS CONTRIB.LIBERA;REM.TIERS CONTR.LIB.;D;6.54;12.42;1.04;2021-01-01;;
'967';CONTR.ROYALTIES ART.ET MANNEQUINS;ROYALT.ART.MANNEQUIN;E;;17.2;;2021-01-01;;
'098';EXO SAPEURS POMPIERS VOLONTAIRES;EXO SAPEUR POMPIER;F;100.0;;;2024-01-01;2026-12-31;
'333';EXO CONTRATS AIDES POLE EMPLOI;EXO POLE EMPLOI;E;6.9;1.45;;2017-01-01;2018-01-01;
'333';EXO CONTRATS AIDES POLE EMPLOI;EXO POLE EMPLOI;E;6.75;1.15;;2013-01-01;2014-01-01;
'407';CONGE INDIVIDUEL DE FORMATION AL;CIF;D;15.15;22.45;2.3;2013-01-01;2014-01-01;
'407';CONGE INDIVIDUEL DE FORMATION AL;CIF;D;15.05;22.55;3.7;2009-01-01;2012-01-01;
'407';CONGE INDIVIDUEL DE FORMATION AL;CIF;D;15.05;22.55;3.9;2008-01-01;2009-01-01;
'407';CONGE INDIVIDUEL DE FORMATION AL;CIF;D;15.05;22.75;4.5;2006-01-01;2007-01-01;
'582';CPRPF APPRENTI SUP 79 RET;CPR APP SUP 79 RET;E;;37.53;;2024-01-01;;
'629';JOURNALISTES ABATT 20% AT/AV/AF/VT AL;JOURNALISTES;K;12.12;21.05;0.0;2013-01-01;2014-01-01;
'629';JOURNALISTES ABATT 20% AT/AV/AF/VT AL;JOURNALISTES;K;12.04;21.25;0.0;2007-01-07;2008-01-01;
'629';JOURNALISTES ABATT 20% AT/AV/AF/VT AL;JOURNALISTES;K;12.04;21.35;0.0;2007-01-01;2007-01-07;
'629';JOURNALISTES ABATT 20% AT/AV/AF/VT AL;JOURNALISTES;K;11.88;21.25;0.0;2004-01-10;2006-01-01;
'629';JOURNALISTES ABATT 20% AT/AV/AF/VT AL;JOURNALISTES;K;11.88;27.25;0.0;1996-01-01;1997-01-01;
'629';JOURNALISTES ABATT 20% AT/AV/AF/VT AL;JOURNALISTES;K;11.88;27.45;0.0;1994-01-01;1996-01-01;
'629';JOURNALISTES ABATT 20% AT/AV/AF/VT AL;JOURNALISTES;K;11.88;27.0;0.0;1992-01-01;1993-01-01;
'629';JOURNALISTES ABATT 20% AT/AV/AF/VT AL;JOURNALISTES;K;11.88;26.8;0.0;1991-01-07;1992-01-01;
'629';JOURNALISTES ABATT 20% AT/AV/AF/VT AL;JOURNALISTES;K;16.32;23.1;0.0;1989-01-09;1990-01-01;
'632';CPRPF TEMPS PARTIEL CADRES SUP;CPRPF TPS PART CS;E;;47.94;;2024-01-01;;
'582';CPRPSNCF APPRENTI SUP 79 RET;CPR APP SUP 79 RET;E;;37.53;;2023-01-01;2024-01-01;
'582';CPRPSNCF APPRENTI SUP 79 RET;CPR APP SUP 79 RET;E;;37.8;;2022-01-01;2023-01-01;
'623';CPRPSNCF CADRES SUPERIEURS;CPRSNCF PREV CS;E;;5.35;;2018-01-10;2019-01-01;
'623';CPRPSNCF CADRES SUPERIEURS;CPRSNCF PREV CS;E;;8.95;;2018-01-01;2018-01-10;
'624';CPRPSNCF NON CADRE SUP NON RESIDENT;CPR PREV NI CS NI R;E;;10.1;;2018-01-10;2019-01-01;
'624';CPRPSNCF NON CADRE SUP NON RESIDENT;CPR PREV NI CS NI R;E;;13.7;;2018-01-03;2018-01-10;
'624';CPRPSNCF NON CADRE SUP NON RESIDENT;CPR PREV NI CS NI R;E;;14.5;;2008-01-10;2018-01-01;
'625';CPRPSNCF CADRES SUP NON RESIDENTS;CPR PREV CS NON RES;E;;10.1;;2018-01-10;2019-01-01;
'630';CPRPSNCF CPA CADRES SUP;CPRPSNCF CPA CS;E;;47.94;;2024-01-01;;
'630';CPRPSNCF CPA CADRES SUP;CPRPSNCF CPA CS;E;;45.89;;2017-01-05;2018-01-01;
'631';CPRPSNCF CPA NON CADRES SUP;CPRPSNCF CPA NON CS;E;;47.94;;2024-01-01;;
'631';CPRPSNCF CPA NON CADRES SUP;CPRPSNCF CPA NON CS;E;;47.0;;2020-01-01;2021-01-01;
'631';CPRPSNCF CPA NON CADRES SUP;CPRPSNCF CPA NON CS;E;;46.95;;2019-01-01;2020-01-01;
'631';CPRPSNCF CPA NON CADRES SUP;CPRPSNCF CPA NON CS;E;;45.89;;2017-01-05;2018-01-01;
'631';CPRPSNCF CPA NON CADRES SUP;CPRPSNCF CPA NON CS;E;;43.74;;2016-01-01;2017-01-01;
'632';CPRPSNCF TEMPS PARTIEL CADRES SUP;CPRPSNCF TPS PART CS;E;;47.67;;2023-01-01;2024-01-01;
'632';CPRPSNCF TEMPS PARTIEL CADRES SUP;CPRPSNCF TPS PART CS;E;;47.67;;2022-01-01;2023-01-01;
'632';CPRPSNCF TEMPS PARTIEL CADRES SUP;CPRPSNCF TPS PART CS;E;;46.51;;2018-01-01;2019-01-01;
'632';CPRPSNCF TEMPS PARTIEL CADRES SUP;CPRPSNCF TPS PART CS;E;;45.89;;2017-01-05;2018-01-01;
'632';CPRPSNCF TEMPS PARTIEL CADRES SUP;CPRPSNCF TPS PART CS;E;;43.89;;2017-01-01;2017-01-05;
'633';CPRPSNCF TEMPS PARTIEL NON CADRES SU;CPR TPS PART NON CS;E;;47.94;;2024-01-01;;
'633';CPRPSNCF TEMPS PARTIEL NON CADRES SU;CPR TPS PART NON CS;E;;47.67;;2022-01-01;2023-01-01;
'633';CPRPSNCF TEMPS PARTIEL NON CADRES SU;CPR TPS PART NON CS;E;;47.67;;2021-01-01;2022-01-01;
'633';CPRPSNCF TEMPS PARTIEL NON CADRES SU;CPR TPS PART NON CS;E;;46.95;;2019-01-01;2020-01-01;
'633';CPRPSNCF TEMPS PARTIEL NON CADRES SU;CPR TPS PART NON CS;E;;45.89;;2017-01-05;2018-01-01;
'633';CPRPSNCF TEMPS PARTIEL NON CADRES SU;CPR TPS PART NON CS;E;;43.29;;2015-01-01;2016-01-01;
'642';CPRPSNCF RETRAITE NON CADRES SUP;CPRSNCF RETR NON CS;E;;47.67;;2023-01-01;2024-01-01;
'642';CPRPSNCF RETRAITE NON CADRES SUP;CPRSNCF RETR NON CS;E;;47.67;;2021-01-01;2022-01-01;
'642';CPRPSNCF RETRAITE NON CADRES SUP;CPRSNCF RETR NON CS;E;;45.89;;2017-01-05;2018-01-01;
'642';CPRPSNCF RETRAITE NON CADRES SUP;CPRSNCF RETR NON CS;E;;43.74;;2016-01-01;2017-01-01;
'642';CPRPSNCF RETRAITE NON CADRES SUP;CPRSNCF RETR NON CS;E;;43.29;;2015-01-01;2016-01-01;
'642';CPRPSNCF RETRAITE NON CADRES SUP;CPRSNCF RETR NON CS;E;;42.02;;2012-01-01;2013-01-01;
'642';CPRPSNCF RETRAITE NON CADRES SUP;CPRSNCF RETR NON CS;E;;42.74;;2010-01-01;2011-01-01;
'642';CPRPSNCF RETRAITE NON CADRES SUP;CPRSNCF RETR NON CS;E;;42.91;;2009-01-01;2010-01-01;
'643';CPRPSNCF RETRAITE CADRES SUP;CPRSNCF RETRAITE CS;E;;47.94;;2024-01-01;;
'643';CPRPSNCF RETRAITE CADRES SUP;CPRSNCF RETRAITE CS;E;;47.67;;2023-01-01;2024-01-01;
'643';CPRPSNCF RETRAITE CADRES SUP;CPRSNCF RETRAITE CS;E;;47.0;;2020-01-01;2021-01-01;
'643';CPRPSNCF RETRAITE CADRES SUP;CPRSNCF RETRAITE CS;E;;46.95;;2019-01-01;2020-01-01;
'643';CPRPSNCF RETRAITE CADRES SUP;CPRSNCF RETRAITE CS;E;;45.89;;2017-01-05;2018-01-01;
'643';CPRPSNCF RETRAITE CADRES SUP;CPRSNCF RETRAITE CS;E;;43.89;;2017-01-01;2017-01-05;
'643';CPRPSNCF RETRAITE CADRES SUP;CPRSNCF RETRAITE CS;E;;43.74;;2016-01-01;2017-01-01;
'643';CPRPSNCF RETRAITE CADRES SUP;CPRSNCF RETRAITE CS;E;;43.29;;2015-01-01;2016-01-01;
'643';CPRPSNCF RETRAITE CADRES SUP;CPRSNCF RETRAITE CS;E;;42.52;;2014-01-01;2015-01-01;
'664';REDUCTION CPRPSNCF;REDUC CPRPSNCF;F;100.0;;;2020-01-01;;
'044';STAGIAIRES NOTARIAT VIEILLESSE RG;STAG NOTAR VIEIL RG;A;15.45;14.85;0.0;2023-01-09;;
'100';RG CAS GENERAL;CAS GENER;A;15.45;13.05;0.0;2019-01-01;;
'102';REGIME GENERAL SANS AT;RG SANS AT;E;15.45;13.05;;2019-01-01;;
'104';RG AVEC DISPENSE PO(AU PAIR);DISP PO PAIR;A;8.55;12.65;0.0;2019-01-01;;
'114';RG AVEC DISPENSE PO VIEIL.SANS AT;DISP PO VIEIL;E;8.55;12.65;;2019-01-01;;
'116';CONVENTION CONVERSION TEMPS PARTIEL;CONV TEMPS PART;C;12.89;9.35;0.0;2019-01-01;;
'124';VOLONTARIAT CIVIL;VOLONT CIVIL;E;;100.0;;2007-01-07;;
'130';CONCIERGES ET EMPLOYES IMM.CAS GEN.;EMPLOYE IMM. CAS GEN;D;15.45;13.05;3.12;2023-01-01;;
'131';CONCIERGES ET EMPLOYES IMM.CAS GEN. AL;CAS GENERAL;D;15.45;14.35;1.92;2023-01-01;;
'136';CENTRES VACANCES LEGERS DISPENSE PO;COL. VAL;A;8.55;12.65;0.0;2019-01-01;;
'137';CENTRES VACANCES LEGERS DISP.PO AL;AU PAIR;A;8.55;12.65;0.0;2019-01-01;;
'139';CENTRES VACANCES LEGERS DISP.PO VIE. AL;DISP PO VIEIL;A;8.55;13.95;0.0;2022-01-04;;
'141';CENTRES DE VACANCES DEVELOPPES AL;CENTRES VACANCES;D;14.85;27.2;1.8;1940-01-01;1997-01-10;
'144';CENTRE VACANCES DEVEL.DISP.PO VIEIL.;DISP PO VIEIL;A;8.55;12.65;0.0;2019-01-01;;
'144';CENTRE VACANCES DEVEL.DISP.PO VIEIL.;DISP PO VIEIL;D;8.3;25.3;2.3;1940-01-01;1997-01-10;
'145';CENTRES VACANCES DEVEL DISP PO VIEI. AL;DISP PO VIEIL;A;8.55;13.95;0.0;2022-01-04;;
'150';STAGIAIRES FORMATION PROFESSIONNELLE;STAGIAIRE FORM. PROF;D;14.75;25.3;5.4;1940-01-01;1997-01-10;
'151';STAGIAIRE FORMATION PROF MAYOTTE;STAG F P MAY;D;20.51;4.45;2.24;2023-01-01;;
'156';TACHES D'INTERET GENERAL (REMUNERES);TIG REMUN;D;14.85;25.4;3.8;1940-01-01;1997-01-10;
'170';REGIME GENERAL RISQUE VIEILLESSE;VIEILLESSE SEULE;E;15.45;2.3;;2017-01-01;;
'173';RG SAUF INV VIEIL FONCT DETACHE MAYO;RG SS I V MAYOTTE;A;5.4;7.86;0.0;2023-01-01;;
'188';RG SAUF AF DONT ETS PUBLICS;SAUF AF;A;14.85;20.0;0.0;1940-01-01;1997-01-10;
'190';RG SAUF AF SANS AT DONT ETABL PUBLIC;SAUF AFAT;E;15.45;9.6;;2019-01-01;;
'194';RG SAUF AF AVEC DISPENSE PO;RG SS PO;A;8.3;14.2;0.0;1940-01-01;1992-01-01;
'204';RG SAUF AF DISPENSE PO VIEIL.SANS AT;DISP PO VIEIL;E;8.3;19.9;;1940-01-01;1997-01-10;
'240';DETENUS EXERCANT UNE ACTIVITE;DET ACT;E;15.45;6.8;;2017-01-01;;
'240';DETENUS EXERCANT UNE ACTIVITE;DET ACT;E;14.75;8.2;;1940-01-01;1997-01-10;
'246';ALLOCATION CONVENTION DE CONVERSION;C. CONVER;A;15.45;13.05;0.0;2019-01-01;;
'246';ALLOCATION CONVENTION DE CONVERSION;C. CONVER;A;14.75;20.0;0.0;1940-01-01;1997-01-10;
'251';CONTRIB MALADIE REV ACTIVITE MAYOTTE;CONTRIB MLD ACTI;E;;3.41;;2023-01-01;;
'285';S.CIVIQUE VOLONTARIAT AV AF MAL OM;S.CIVIQUE VOL.VIEL;E;15.45;20.55;;2018-01-01;;
'302';EXO AIDE A DOMICILE/ACCUEIL FAMILIAL;ASSOC DOMI EXO;A;6.9;0.7;0.0;2018-01-01;;
'312';ARTISTES CAS GENERAL ABATTEMENT 30%;ARTISTES 30%;B;10.4;17.78;1.33;1940-01-01;1997-01-10;
'313';ARTISTES CAS GENERAL ABATTEMENT 30% AL;ARTISTES;A;10.82;10.14;0.0;2022-01-04;;
'314';ARTISTES AVEC DISPENSE PO ABATT 30%;ART. PP;A;5.99;8.95;0.0;2019-01-01;;
'315';ARTISTES AVEC DISPENSE PO ABATT 30% AL;ARTISTES PAIR;A;5.99;8.95;0.0;2019-01-01;;
'320';ARTISTES SANS AT;ART SANS AT;E;10.82;9.23;;2019-01-01;;
'323';EXO CONTRATS AIDES ATELIER INSERTION;EXO ACI;D;6.9;0.7;1.5;2018-01-01;;
'330';MEDECINS FONCTIONNAIRES;MEDECIN FONCT;D;5.99;20.45;0.87;2022-01-01;;
'331';MEDECINS FONCTIONNAIRES AL;MEDECIN FONCT;D;5.81;21.8;1.2;1940-01-01;1997-01-01;
'336';PROF MEDIC ABATT.30% PLF;PROF MEDIC;A;10.4;20.0;0.0;1940-01-01;1997-01-10;
'346';PERSONNEL MEDICAL CENTRES DE SANTE;PERS MEDICAL;A;15.45;13.05;0.0;2019-01-01;;
'360';INSERTION ACCUEIL EN STRUCT. AGREEE;INSERTION;E;6.9;0.7;;2019-01-01;;
'370';ASSOCIATIONS INTERMEDIAIRES;ASS INT;D;15.45;13.05;3.36;2023-01-01;;
'370';ASSOCIATIONS INTERMEDIAIRES;ASS INT;A;14.75;25.4;0.0;1940-01-01;1997-01-10;
'376';COT VIEILLESSE NOTARIAT ALSACE MOSEL AL;VIEILLESSE NOTAR AM;E;;100.0;;2023-01-01;;
'408';GRAND PORT MARITIME DE BORDEAUX;GRAND PORT BORDEAUX;A;15.45;14.75;0.0;2026-01-01;2027-01-01;
'408';GRAND PORT MARITIME DE BORDEAUX;GRAND PORT BORDEAUX;A;15.45;14.25;0.0;2025-01-01;2026-01-01;
'412';S.CIVIQUE VOL AV AF MAL MAYOTTE;S.CIVIQ.VOL.AV MAY;E;20.51;7.86;;2023-01-01;;
'468';EXONERATION PRESSE GRATUITE;EXO PRESSE GRATUITE;D;6.9;0.7;1.9;2019-01-01;;
'489';Apprentis loi 1992  AT - 20 Mayotte;App 92 AT - 20 May;A;0.0;;0.0;2023-01-01;;
'490';Apprentis loi 1992  AT + 50 Mayotte;App 92 AT + 50 May;A;0.0;;0.0;2023-01-01;;
'520';APPRENTIS SECT PUBLIC SUP SEUIL ALS AL;APP PUB >SEUIL;A;6.9;1.7;0.0;2022-01-04;;
'592';S.CIVIQUE VOLONTARIAT AV AF MAL;S.CIVIQUE VOL.VIEIL;E;15.45;20.55;;2018-01-01;;
'617';VIEILLESSE TAUX METROPOLE MAYOTTE;VIEIL METRO MAY;E;15.45;2.3;;2019-01-01;;
'620';MAYOTTE APPRENTIS PUBLIC SUP SEUIL;MAY APPRENT SEUIL;A;5.21;4.16;0.0;2023-01-01;;
'628';JOURNALISTES ABATT 20% AT/AV/AF/VM;JOURNALISTES;K;12.36;11.98;0.0;2019-01-01;;
'630';CPRPSNCF CPA CADRES SUP;CPRPSNCF CPA CS;E;;47.94;;2023-01-01;;
'631';CPRPSNCF CPA NON CADRES SUP;CPRPSNCF CPA NON CS;E;;47.94;;2023-01-01;;
'642';CPRPSNCF RETRAITE NON CADRES SUP;CPRSNCF RETR NON CS;E;;47.94;;2023-01-01;;
'712';ASSISTANTS EDUCATION TEMPS COMPLET;ASSISTANTS EDUCATION;E;15.45;20.85;;2018-01-01;;
'715';ASSISTANTS EDUCATION AVEC AT AL;ASSIST EDUCATION AT;D;15.45;22.15;1.02;2023-01-01;;
'727';APPRENTIS SECT PRIVE INF SEUIL ALS AL;APP PRIVE AM<SEUIL;A;8.55;12.65;0.0;2022-01-04;;
'734';JEI EXONERATION TAUX PLEIN;JEI EXO TAUX PLEIN;A;6.9;0.7;0.0;2018-01-01;;
'755';BASSINS D'EMPLOI A REDYNAMISER;BASSIN EMPLOI;A;6.9;0.7;0.0;2022-01-01;2032-12-31;
'803';APPRENTIS SECT PUBLIC INF SEUIL;APP PUB INF SEUIL;A;;;0.0;2019-01-01;;
'805';APPRENTIS SECT PUBLIC INF SEUIL ALS AL;APP PUB INF SEUIL;A;;;0.0;2022-01-04;;
'843';COLLAB.OCCAS.SERV.PUBLIC FPH EST AL;COSP FPH EST;D;14.85;27.2;0.5;1940-01-01;1997-01-10;
'855';COLLAB.OCCAS.SERV.PUBLIC FPT EST AL;COSP FPH EST;D;15.45;20.85;1.36;2023-01-01;;
'855';COLLAB.OCCAS.SERV.PUBLIC FPT EST AL;COSP FPH EST;D;14.85;21.8;5.4;1940-01-01;1997-01-10;
'886';ELUS LOCAUX INDEMNITE INF 50% PASS;ELUS LOC. <50% PASS;A;15.45;20.85;0.0;2018-01-01;;
'923';COLLAB.OCCAS. SERV. PUBLIC OSS EST AL;COSP OSS EST;D;15.45;20.85;0.9;2023-01-01;;
'932';PORT BDX APPRENTI SECT PRIVE;PAB APPR.PRIVE;A;8.55;14.35;0.0;2026-01-01;2027-01-01;
'052';RR PRERETRAITE ALSACE MOSELLE AL AL;RR PRERET.AL MOS;E;;1.5;;2019-01-01;2022-01-04;
'055';RR PRERETRAITE COT.MALADIE DEC.EMPL;RR PRERET.MAL DUE;E;;1.0;;2019-01-01;;
'364';ELEVE ENS.SECONDAIRE AR.412.8.2E(B);ELEVE ENS SECOND AT;D;;;100.0;2023-01-01;;
'406';CONGE INDIVIDUEL DE FORMATION;CIF;D;15.45;13.17;2.24;2024-01-01;;
'453';RR PRERETRAITE N-RESID.DECL.UNI.EMP;RR PRERET.N-RES DUE;E;;4.2;;2019-01-01;;
'548';CAISSES CP SECT BAT TP-METROPOLE;CCP SEC BAT TP METRO;E;2.06;3.04;;2024-01-01;;
'549';CAISSES CP SECT BAT TP - DOM OM;CCP SECT BAT TP DOM;E;1.43;2.12;;2021-01-01;2024-01-01;
'714';ASSISTANTS EDUCATION AVEC AT;ASSIST EDUCATION AT;D;15.45;20.97;1.02;2024-01-01;;
'716';CONTRIBUTION PATRONALE PRERETRAITES;PRERETRAIT PP;E;;25.62;;2019-01-01;;
'754';GUS TOREROS ABT 30%;GUS TOREROS ABT 30%;D;10.82;9.31;0.92;2024-01-01;;
'823';COLLABORATEUR OCCAS SERVICE PUBLIC;COLLAB SERV PUBLIC;C;15.45;20.97;1.02;2024-01-01;;
'852';FONCTIONNAIRES NON TITUL FP AVEC AF;NON TIT EN FP;D;15.45;20.97;2.24;2024-01-01;;
'853';COLLAB.OCCAS. SERVICE PUBLIC OSS;COSP OSS;D;15.45;20.97;1.02;2024-01-01;;
'864';CNRACT CESS. PROGRES. ACTIV.AVEC AT;CESS.ACTIVITE;A;0.1;17.2;0.0;2007-01-01;2012-01-01;
'864';CNRACT CESS. PROGRES. ACTIV.AVEC AT;CESS.ACTIVITE;A;0.1;17.2;0.0;2004-01-10;2007-01-01;
'864';CNRACT CESS. PROGRES. ACTIV.AVEC AT;CESS.ACTIVITE;A;0.1;17.2;0.0;2004-01-07;2004-01-10;
'864';CNRACT CESS. PROGRES. ACTIV.AVEC AT;CESS.ACTIVITE;A;0.1;16.9;0.0;1998-01-01;2004-01-07;
'866';CNRACT CESS. PROGRES. ACTIV.SANS AT;CESS.ACTIVITE;E;;17.05;;2014-01-01;2018-01-01;
'866';CNRACT CESS. PROGRES. ACTIV.SANS AT;CESS.ACTIVITE;E;0.1;17.2;;2004-01-07;2004-01-10;
'866';CNRACT CESS. PROGRES. ACTIV.SANS AT;CESS.ACTIVITE;E;0.1;16.9;;1998-01-01;2004-01-07;
'880';CNRACT AVEC AT;CNRACT + AT;A;0.1;17.2;0.0;2004-01-10;2007-01-01;
'880';CNRACT AVEC AT;CNRACT + AT;A;0.1;17.2;0.0;2004-01-07;2004-01-10;
'880';CNRACT AVEC AT;CNRACT + AT;A;0.1;21.65;0.0;1940-01-01;1997-01-10;
'882';CNRACT SANS AT;CNRACL;E;;17.05;;2014-01-01;2018-01-01;
'884';CNRACT SAUF AF SANS AT;CNRACT;E;;10.18;;2018-01-01;;
'884';CNRACT SAUF AF SANS AT;CNRACT;E;0.1;11.8;;2004-01-07;2004-01-10;
'884';CNRACT SAUF AF SANS AT;CNRACT;E;0.1;16.25;;1997-01-10;1998-01-01;
'884';CNRACT SAUF AF SANS AT;CNRACT;E;0.1;16.25;;1940-01-01;1997-01-10;
'892';FONCT.SUR BUDGETS ANNEXES SANS AT;BUDG.ANNEXES;E;0.1;16.25;;1940-01-01;1997-01-10;
'893';FONCT REMUNERE BUDG ANNEXE SANS AT AL;BUDG.ANNEXES;E;;16.73;;2022-01-04;;
'894';FONCT.SUR BUDGETS ANNEXES AVEC AT;BUDG.ANNEXES;A;;15.43;0.0;2018-01-01;;
'922';ENTR.DE PRODUCTION D ELECTRICITE;ENTR PROD;D;;8.85;0.17;2023-01-01;;
'210';CNIEG RS CAS PARTICULIER;CNIEG RS CAS PART;E;;39.94;;2023-01-09;;
'215';CNIEG AUTRES RISQUES;CNIEG AUTRE RISQUE;E;;2.7;;2023-01-09;;
'912';CNIEG VIEILLESSE REGIME DROIT COMMUN;CNIEG VIEIL RDC;E;;39.84;;2023-01-05;;
'955';CNIEG PETIT POOL;CNIEG POOL;E;;8.5;;2023-01-05;;
'006';ARBITRES ET JUGES SPORTIFS;ARBITRES;D;15.45;13.17;1.32;2024-01-01;;
'056';MAITRE DOCUMENT.PRIV AV/AF;MAITRE PRIVE AV AF;E;15.45;5.75;;2017-01-01;;
'130';CONCIERGES ET EMPLOYES IMM.CAS GEN.;EMPLOYE IMM. CAS GEN;D;15.45;13.17;3.12;2024-01-01;;
'131';CONCIERGES ET EMPLOYES IMM.CAS GEN. AL;CAS GENERAL;D;15.45;14.47;1.92;2024-01-01;;
'133';CONCIERGES EMPL.D'IMM.AU PAIR AL;AU PAIR;D;8.55;12.77;1.92;2024-01-01;;
'233';COT.AT FORMATION PROFESSIONNELLE;COT.AT FPROF.;D;;;2.24;2023-01-01;;
'265';SERVICE CIVIQUE VOLONTARIAT AT/MP OM;S.CIVIQUE VOL AT;D;;;2.24;2023-01-01;;
'331';MEDECINS FONCTIONNAIRES AL;MEDECIN FONCT;D;5.99;21.87;1.33;2024-01-01;;
