Bloc,Rubrique,Nom du champ,Type,Longueur,Obligatoire,Nomenclature,Description,Commentaire
S10.G00.01 - Emetteur,S10.G00.01.005,Code postal,ExternalReferential,5-5,Conditionnel,,"Donnée d'organisation de la distribution postale, à utiliser telle que définie dans le fichier Hexaposte",Emetteur.CodePostal
S10.G00.01 - Emetteur,S10.G00.01.006,Localité,Alphanumeric,1-50,Conditionnel,,La localité est un élément géographique et administratif. C’est le premier élément d’identification associé au code postal. Le libellé est la plupart du temps le nom officiel de la localité enregistrée à l’INSEE et au Journal Officiel.,Emetteur.Localite
S10.G00.01 - Emetteur,S10.G00.01.007,Code pays,ExternalReferential,2-2,Conditionnel,,Nom du pays (territoire d’un état) exprimé sous la forme d’un code.,Emetteur.Pays
S10.G00.01 - Emetteur,S10.G00.01.008,Code de distribution à l'étranger,Alphanumeric,1-50,Conditionnel,,Mention complémentaire pour les adresses ne relevant du système postal français,Emetteur.CodeDistribution
S10.G00.01 - Emetteur,S10.G00.01.009,Complément de la localisation de la construction,Alphanumeric,1-50,Conditionnel,,"Les compléments d’adresse permettent d’indiquer le point de remise exact du courrier. Ils donnent des informations précises et déterminantes dans la phase finale de distribution du courrier, tel que le bâtiment, la boîte aux lettres, le numéro d’appartement.",Emetteur.ComplementConstruction
S10.G00.01 - Emetteur,S10.G00.01.010,"Service de distribution, complément de localisation de la voie",Alphanumeric,1-50,Conditionnel,,Il s’agit de services de distribution du courrier spécifiques proposés ou mis en place par La Poste,Emetteur.ComplementVoie
S10.G00.02 - Contact Emetteur,S10.G00.02.001,Code civilité,Enumeration,2-2,Oui,Civilite,,Contact.Civilite
S10.G00.02 - Contact Emetteur,S10.G00.02.002,Nom et prénom de la personne à contacter,Alphanumeric,1-80,Oui,,"Nom, prénom de l'agent de l'émetteur pouvant donner des précisions sur cet envoi.
",Contact.Nom
S10.G00.02 - Contact Emetteur,S10.G00.02.004,Adresse mél du contact émetteur,Alphanumeric,6-100,Oui,,Cette adresse sera utilisée dans le cadre des contacts en lien avec vos déclarations actuelles et à venir.,Contact.Mel
S10.G00.02 - Contact Emetteur,S10.G00.02.005,Adresse téléphonique,Alphanumeric,10-20,Oui,,,Contact.Tel
S10.G00.02 - Contact Emetteur,S10.G00.02.006,Adresse fax,Alphanumeric,10-20,Conditionnel,,Si souhaité par le contact.,Contact.fax
S20.G00.05 - ,S20.G00.05.001,Nature de la déclaration,Enumeration,2-2,Oui,DSN_Declaration_Nature,,Declaration.Nature
S20.G00.05 - ,S20.G00.05.002,Type de la déclaration,Enumeration,2-2,Oui,DSN_Declaration_Type,,Declaration.Type
S20.G00.05 - ,S20.G00.05.003,Numéro de fraction de déclaration,Numeric,2-2,Oui,,"Le numéro de fraction de la déclaration est exprimé par 'nd' avec :
n = numéro de la fraction
d = nombre total de fractions
n doit être inférieur ou égal à d
Pour un même établissement le nombre d (nombre total de fractions) doit rester constant.
L'établissement s'engage à produire ou à faire produire l'ensemble des fractions annoncées.
Exemples:
12 : fraction 1/2 dirigeants,
22 : fraction 2/2 cadres et salariés.
Pour une entreprise non fractionnée mettre 11.",Declaration.Fraction
S20.G00.05 - ,S20.G00.05.004,Numéro d'ordre de la déclaration,Numeric,1-15,Oui,,"Le numéro d'ordre de la déclaration (attribué par le déclarant) est une référence qui permet d'identifier le rang de constitution d'une déclaration au cours du mois courant.
Pour une Mensuelle, ce numéro est remis à zéro à chaque premier jour de mois civil. Pour un signalement, ce numéro ne doit pas être remis à zéro afin qu’il soit unique quel que soit le mois d’émission.
",Declaration.Ordre
S20.G00.05 - ,S20.G00.05.005,Date du mois principal déclaré,Date,8-8,Oui,,"Il s'agit du premier jour du mois civil au titre duquel est établie la paie, hors éventuels rappels.
Cette date doit être renseignée au premier jour du mois (sous la forme 01mmaaaa).",Declaration.Mois
S20.G00.05 - ,S20.G00.05.006,Identifiant de la déclaration annulée ou remplacée,Alphanumeric,9-23,Conditionnel,,"L'identifiant de la déclaration annulée ou remplacée est celui de la dernière déclaration, relative au même évènement validée par le point de dépôt.
Cette rubrique est une concaténation de la date de constitution du fichier (S20.G00.05.007) et du numéro d’ordre de la déclaration (S20.G00.05.004) de la déclaration annulée.",Declaration.IdentifiantAnnulation
S20.G00.05 - ,S20.G00.05.007,Date de constitution du fichier,Date,8-8,Oui,,,Declaration.DateFichier
S20.G00.05 - ,S20.G00.05.008,Champ de la déclaration,Enumeration,2-2,Oui,Declaration_Champ,"Pour les entreprises mixtes, cette rubrique doit être renseignée de la valeur 02 ou de la valeur 03 en concordance avec le régime de protection sociale des salariés déclarés. Toutes les autres entreprises non mixtes doivent renseigner cette rubrique avec la valeur 01.",Declaration.Champ
S20.G00.05 - ,S20.G00.05.009,Identifiant métier,Alphanumeric,1-15,Conditionnel,,Cette rubrique vous permet de renseigner un identifiant métier de déclaration qui pourra être utilisé en cas de contact direct avec un OPS.,Declaration.IdentifiantMetier
S20.G00.05 - ,S20.G00.05.010,Devise de la déclaration,Enumeration,2-2,Oui,DSN_Devise_Paiement,La devise choisie s'applique à tous les montants présents dans la déclaration.,Declaration.DeviseDeclaration
S20.G00.05 - ,S20.G00.05.011,Nature de l’événement déclencheur du signalement,Enumeration,2-2,Oui,DSN_NatureEvenementDeclencheurSignalement,"Cette rubrique permet d'identifier l'élément variant qui a déclenché l'émission de ce message.
Cette rubrique ne peut être renseignée que pour un signalement d'amorçage des données variables.",Declaration.NatureEvenementDeclencheurSignalement
S20.G00.05 - ,S20.G00.05.012,Dernier SIRET connu pour ancien numéro de contrat,Alphanumeric,14-14,Conditionnel,,"Cette rubrique permet la recherche de certaines données du contrat déclarées précédemment pour un établissement et un individu donnés. Elle doit être renseignée avec le SIRET de l’établissement pour lequel vous souhaitez la communication d'informations relatives au dernier contrat connu de l'individu.
Cette recherche est effectuée pour les cas d'embauche d'individus suite à une mutation et les cas de changements de tiers déclarant ou de logiciel déclaratif.",Declaration.DernierSIRETConnuAncienContrat
S20.G00.05 - ,S20.G00.05.013,Type de nature de la DSN de substitution,Enumeration,2-2,Oui,DSN_Substitution_Nature,Cette rubrique permet d'identifier la situation ayant conduit à la production de la DSN de substitution.,Declaration.NatureDsnSubstitution
S20.G00.07 - Contact chez le déclaré,S20.G00.07.001,Nom et prénom du contact,Alphanumeric,1-80,Oui,,,ContactDeclare.Nom
S20.G00.07 - Contact chez le déclaré,S20.G00.07.002,Adresse téléphonique,Alphanumeric,10-20,Oui,,,ContactDeclare.Tel
S20.G00.07 - Contact chez le déclaré,S20.G00.07.003,Adresse mél du contact,Alphanumeric,6-100,Oui,,Cette adresse mél est utilisée pour adresser le compte-rendu métier DSIJ.,ContactDeclare.mel
S20.G00.07 - Contact chez le déclaré,S20.G00.07.004,Type,Enumeration,2-2,Oui,DSN_ContactDeclare_type,"Pour les entreprises employant au moins 250 salariés, l'acteur à renseigner avec le type « 14 - Contact chez le déclaré pour le suivi des travailleurs handicapés » doit correspondre au référent handicap qui est en charge « d'orienter, d'informer et d'accompagner les personnes en situation de handicap » conformément à l’article L5213-6-1 du Code du travail.",ContactDeclare.type
S20.G00.08 - Identifiant de l’organisme destinataire de la déclaration « Absence de rattachement pour le mois principal déclaré »,S20.G00.08.001,Code caisse,ExternalReferential,2-6,Oui,,"Code identifiant un organisme qui était précédemment destinataire de la DSN (l'établissement employait des individus rattachés à cet organisme) et qui n'a plus d'individu rattaché pour le mois principal déclaré. Cette rubrique doit être renseignée uniquement dans le cas où l'établissement n'a plus de population à déclarer à un organisme.
Numéro de la caisse destinataire de la DSN sans salarié affilié.
Caisses de congés payés (CIBTP, Transport et Manutention portuaire) : code de la caisse concernée, d'après la table ODRT
AGIRC ARRCO :  88
MSA : code caisse MSA
CCVRP : non concerné
CNIEG : 91
CAMIEG : 92
POLE EMPLOI : 93
CRPCEN : 94
Organisme complémentaire : non concerné
CRPNPAC :  96
Caisse de congés spectacles : 97
CNRACL : non concerné
SRE : non concerné
RAFP : non concerné
FSPOEIE : non concerné
RAEP : 99
CNBF : 98
CRP RATP : 70",IdentifiantOrganismeDestinataireAbsenceRattachement.CodeCaisse
S21.G00.06 - Entreprise,S21.G00.06.001,SIREN,Alphanumeric,9-9,Oui,,"Le numéro SIREN est un identifiant de neuf chiffres attribué à chaque unité légale. Les huit premiers chiffres n'ont aucune signification, excepté pour les organismes publics dont le numéro SIREN commence obligatoirement par 1 ou 2. Le neuvième chiffre est un chiffre de contrôle de validité du numéro.",Entreprise.Siren
S21.G00.06 - Entreprise,S21.G00.06.002,NIC du siège,Alphanumeric,5-5,Conditionnel,,"Il s'agit du NIC de l'établissement siège de l'entreprise, ou, pour les entreprises étrangères, du NIC du premier établissement implanté en France.
Si le siège est SIRETisé, l’entreprise dispose donc d’un NIC, et alors le NIC doit être renseigné.",Entreprise.Nic
S21.G00.06 - Entreprise,S21.G00.06.003,Code APEN,ExternalReferential,5-5,Oui,,"Le code APE est attribué par l’INSEE à toute entreprise et chacun de ses établissements lors de son inscription au répertoire SIRENE. Ce code caractérise son activité principale par référence à la nomenclature d'activités française (NAF rév. 2).
Il est nommé APEN dans le cas d'une entreprise, et APET pour un établissement.",Entreprise.Apen
S21.G00.06 - Entreprise,S21.G00.06.004,"Numéro, extension, nature et libellé de la voie",Alphanumeric,1-50,Conditionnel,,"Numéro : Il précise l’adresse dans la voie. Sa valeur est différente de 0 et ne doit pas dépasser 4 chiffres. En cas de numéro multiple, seul le premier doit être indiqué (pour exemple indiquer 4 pour 4/14)
Extension : Lettre accolée au numéro si celui-ci ne présente pas une précision suffisante (par exemple B pour BIS, T pour TER, etc…)
Nature de la voie : information facultative décrivant la nature de la voie (rue, avenue, etc…)
Libellé de la voie : Appellation officielle de la voie",Entreprise.Voie
S21.G00.06 - Entreprise,S21.G00.06.005,Code postal,ExternalReferential,5-5,Conditionnel,,Il s’agit de données d’organisation postale qui doivent être utilisées en l’état. Le code postal est composé de 5 chiffres. Les codes CEDEX ne sont pas admis.,Entreprise.CodePostal
S21.G00.06 - Entreprise,S21.G00.06.006,Localité,Alphanumeric,1-50,Conditionnel,,La localité est un élément géographique et administratif. C’est le premier élément d’identification associé au code postal. Le libellé est la plupart du temps le nom officiel de la localité enregistrée à l’INSEE et au Journal Officiel.,Entreprise.Localite
S21.G00.06 - Entreprise,S21.G00.06.007,Complément de la localisation de la construction,Alphanumeric,1-50,Conditionnel,,"Les compléments d’adresse permettent d’indiquer le point de remise exact du courrier. Ils donnent des informations précises et déterminantes dans la phase finale de distribution du courrier, tel que le bâtiment, la boîte aux lettres, le numéro d’appartement.",Entreprise.ComplementConstruction
S21.G00.06 - Entreprise,S21.G00.06.008,"Service de distribution, complément de localisation de la voie",Alphanumeric,1-50,Conditionnel,,Il s’agit de services de distribution du courrier spécifiques proposés ou mis en place par La Poste.,Entreprise.ComplementVoie
S21.G00.06 - Entreprise,S21.G00.06.009,Effectif moyen de l'entreprise au 31 décembre,Numeric,1-7,Conditionnel,,La déclaration de cette rubrique n'est plus attendue (y compris pour les employeurs du secteur public et du secteur maritime) à compter de la version de norme P24V01.,Entreprise.EffectifMoyen
S21.G00.06 - Entreprise,S21.G00.06.010,Code pays,ExternalReferential,2-2,Conditionnel,,"Nom du pays (territoire d’un état) où est localisée l'entreprise, exprimé sous la forme d’un code.
Le code pays ne doit pas être renseigné pour les adresses relevant du système postal français.
Le domaine d'application du système postal français est constitué des territoires suivants :
FR : France métropolitaine
GP : Guadeloupe
BL : Saint Barthélémy
MF : Saint Martin
MQ : Martinique
GF : Guyane Française
RE : Ile de la Réunion
PM : Saint Pierre et Miquelon
YT : Mayotte
WF : Wallis et Futuna
PF : Polynésie Française
NC : Nouvelle Calédonie
MC : Monaco",Entreprise.CodePays
S21.G00.06 - Entreprise,S21.G00.06.011,Code de distribution à l'étranger,Alphanumeric,1-50,Conditionnel,,,Entreprise.CodeDistribution
S21.G00.06 - Entreprise,S21.G00.06.012,Implantation de l'entreprise,Enumeration,2-2,Conditionnel,DSN_Implantation_Entreprise,,Entreprise.ImplantationEntreprise
S21.G00.06 - Entreprise,S21.G00.06.015,Code convention collective applicable,ExternalReferential,4-4,Conditionnel,,"Convention conclue entre une entreprise et un ou plusieurs syndicats représentatifs de salariés en vue de déterminer les conditions de travail et de rémunération qui s'imposeront à l'entreprise. Le code de convention collective, géré par le Ministère chargé du travail, peut être obtenu sur le site http://www.net-entreprises.fr.",Entreprise.CodeConventionCollectiveApplicable
S21.G00.13 - Complément OETH,S21.G00.13.001,Accord agréé OETH,ExternalReferential,12-12,Conditionnel,,"Cette rubrique est à renseigner dans le cas où l’entreprise est concernée par un accord agréé au titre de l’obligation d’emploi des travailleurs handicapés pour l’année de rattachement à laquelle le bloc ""Complément OETH - S21.G00.13"" est souscrit.",Oeth.Accord
S21.G00.13 - Complément OETH,S21.G00.13.002,Type BOETH externe,Enumeration,2-2,Conditionnel,TypeBoeth,"Cette rubrique permet de renseigner le type de Bénéficiaires de l’Obligation d’Emploi des Travailleurs Handicapés (BOETH) mis à disposition de l’entreprise pour l’année de rattachement à laquelle le bloc ""Complément OETH - S21.G00.13"" est souscrit.
Cette rubrique permet également de déclarer les stagiaires BOETH accueillis dans l'entreprise n'ayant pas pu être déclarés au préalable dans les DSN mensuelles de l'année concernée. Si les stagiaires BOETH ont déjà été déclarés à maille nominative dans les déclarations précédentes, ils ne doivent pas être déclarés dans cette rubrique.",Oeth.Type
S21.G00.13 - Complément OETH,S21.G00.13.003,Nombre BOETH externe,Numeric,4-8,Conditionnel,,"Cette rubrique permet de renseigner le nombre associé au type de Bénéficiaires de l’Obligation d’Emploi des Travailleurs Handicapés (BOETH) mis à disposition de l’entreprise pour l’année de rattachement à laquelle le bloc ""Complément OETH - S21.G00.13"" est souscrit. Cette rubrique permet également de déclarer le nombre de stagiaires BOETH accueillis dans l'entreprise n'ayant pas pu être déclarés au préalable dans les DSN mensuelles de l'année concernée. Si les stagiaires BOETH ont déjà été déclarés à maille nominative dans les déclarations précédentes, cette rubrique ne doit pas être renseignée.",Oeth.Nombre
S21.G00.13 - Complément OETH,S21.G00.13.004,Millésime de rattachement,Numeric,4-4,Oui,,"Année au titre de laquelle le bloc ""Complément OETH - S21.G00.13"" est souscrit.",Oeth.Rattachement
S21.G00.11 - Etablissement,S21.G00.11.001,NIC,Alphanumeric,5-5,Oui,,"L'établissement est une unité de production localisée géographiquement, individualisée mais dépendant juridiquement d'une entreprise. 
Dans le cadre d'un contrat de travail, il s'agit de l'établissement de rattachement administratif du salarié.
Le Numéro interne de classement (NIC) est composé de 5 chiffres ajoutés au SIREN de l'entreprise pour identifier un établissement.",Etablissement.Nic
S21.G00.11 - Etablissement,S21.G00.11.002,Code APET,ExternalReferential,5-5,Oui,,"Le code APE est attribué par l’INSEE à toute entreprise et chacun de ses établissements lors de son inscription au répertoire SIRENE. Ce code caractérise son activité principale par référence à la nomenclature d'activités française (NAF rév. 2).
Il est nommé APEN dans le cas d'une entreprise, et APET pour un établissement.",Etablissement.Apet
S21.G00.11 - Etablissement,S21.G00.11.003,"Numéro, extension, nature et libellé de la voie",Alphanumeric,1-50,Conditionnel,,"Numéro : Il précise l’adresse dans la voie. Sa valeur est différente de 0 et ne doit pas dépasser 4 chiffres. En cas de numéro multiple, seul le premier doit être indiqué (pour exemple indiquer 4 pour 4/14)
Extension : Lettre accolée au numéro si celui-ci ne présente pas une précision suffisante (par exemple B pour BIS, T pour TER, etc…)
Nature de la voie : information facultative décrivant la nature de la voie (rue, avenue, etc…)
Libellé de la voie : Appellation officielle de la voie",Etablissement.Voie
S21.G00.11 - Etablissement,S21.G00.11.004,Code postal,ExternalReferential,5-5,Conditionnel,,Il s’agit de données d’organisation postale qui doivent être utilisées en l’état. Le code postal est composé de 5 chiffres. Les codes CEDEX ne sont pas admis.,Etablissement.CodePostal
S21.G00.11 - Etablissement,S21.G00.11.005,Localité,Alphanumeric,1-50,Conditionnel,,La localité est un élément géographique et administratif. C’est le premier élément d’identification associé au code postal. Le libellé est la plupart du temps le nom officiel de la localité enregistrée à l’INSEE et au Journal Officiel.,Etablissement.Localite
S21.G00.11 - Etablissement,S21.G00.11.006,Complément de la localisation de la construction,Alphanumeric,1-50,Conditionnel,,"Les compléments d’adresse permettent d’indiquer le point de remise exact du courrier. Ils donnent des informations précises et déterminantes dans la phase finale de distribution du courrier, tel que le bâtiment, la boîte aux lettres, le numéro d’appartement.",Etablissement.ComplementConstruction
S21.G00.11 - Etablissement,S21.G00.11.007,"Service de distribution, complément de localisation de la voie",Alphanumeric,1-50,Conditionnel,,Il s’agit de services de distribution du courrier spécifiques proposés ou mis en place par La Poste,Etablissement.ComplementVoie
S21.G00.11 - Etablissement,S21.G00.11.008,Effectif de fin de période déclarée de l'établissement,Numeric,1-6,Conditionnel,,La déclaration de cette rubrique n'est plus attendue (y compris pour les employeurs du secteur public et du secteur maritime) à compter de la version de norme P24V01.,Etablissement.EffectifFinPeriode
S21.G00.11 - Etablissement,S21.G00.11.009,Type de rémunération soumise à contributions d'Assurance chômage pour expatriés,Enumeration,2-2,Conditionnel,DSN_Renum_AC,Porte le choix de l’établissement (salaire réel ou salaire de comparaison) sur le montant déclaré. Celui-ci peut correspondre à la rémunération réellement versée ou à une équivalence déterminée par l'employeur en vue d'ajuster les cotisations et indemnisations Assurance chômage au salaire que l'intéressé aurait perçue s'il avait travaillé en France.,Etablissement.RemunerationExpatries
S21.G00.11 - Etablissement,S21.G00.11.015,Code pays,ExternalReferential,2-2,Conditionnel,,"Nom du pays (territoire d’un état) où est localisé l'établissement, exprimé sous la forme d’un code.
Le code pays ne doit pas être renseigné pour les adresses relevant du système postal français.
Le domaine d'application du système postal français est constitué des territoires suivants :
FR : France métropolitaine
GP : Guadeloupe
BL : Saint Barthélémy
MF : Saint Martin
MQ : Martinique
GF : Guyane Française
RE : Ile de la Réunion
PM : Saint Pierre et Miquelon
YT : Mayotte
WF : Wallis et Futuna
PF : Polynésie Française
NC : Nouvelle Calédonie
MC : Monaco",Etablissement.CodePays
S21.G00.11 - Etablissement,S21.G00.11.016,Code de distribution à l'étranger,Alphanumeric,1-50,Conditionnel,,,Etablissement.CodeDistribution
S21.G00.11 - Etablissement,S21.G00.11.017,Nature juridique de l'employeur,Enumeration,2-2,Conditionnel,DSN_Etablissement_Nature_Juridique,"La nature juridique de l’employeur constitue ce qui définit en droit un employeur. Elle précise s’il est de nature privée ou publique. L’employeur est une personne physique ou morale qui a conclu un contrat de travail avec un salarié. Il exerce des pouvoirs de direction, de contrôle et de sanction. Il assume envers le salarié et à l’égard des administrations fiscale et sociale les obligations liées au contrat de travail.
Nature du droit applicable à l'employeur.",Etablissement.NatureJuridiqueEmployeur
S21.G00.11 - Etablissement,S21.G00.11.019,Date d'effet de l'adhésion au dispositif TESE/CEA,Date,8-8,Conditionnel,,Cette rubrique est exclusivement alimentée par les centres TESE de l’Urssaf CN dans le cadre du dispositif TESE/CEA. Elle ne doit en conséquence pas être développée par les éditeurs de logiciels et ne doit pas être renseignée par les déclarants autres que l’Urssaf CN.,Etablissement.DateEffetAdhesionTESECEA
S21.G00.11 - Etablissement,S21.G00.11.020,Date d'effet de la sortie du dispositif TESE/CEA,Date,8-8,Conditionnel,,Cette rubrique est exclusivement alimentée par les centres TESE de l’Urssaf CN dans le cadre du dispositif TESE/CEA. Elle ne doit en conséquence pas être développée par les éditeurs de logiciels et ne doit pas être renseignée par les déclarants autres que l’Urssaf CN.,Etablissement.DateSortieTESECEA
S21.G00.11 - Etablissement,S21.G00.11.022,Code convention collective principale,ExternalReferential,4-4,Oui,,"Convention collective principale, conclue entre l'établissement et un ou plusieurs syndicats représentatifs de salariés en vue de déterminer les conditions de travail et de rémunération qui s'imposeront à l'établissement. Le code de convention collective, géré par le Ministère chargé du travail, peut être obtenu sur le site http://www.net-entreprises.fr. ",Etablissement.CodeConventionCollective
S21.G00.11 - Etablissement,S21.G00.11.023,Opérateur de compétences (OPCO),ExternalReferential,2-2,Conditionnel,,"Les opérateurs de compétences (OPCO) ont pour missions notamment de financer les dispositifs en alternance, d’aider les branches à construire les certifications professionnelles et d’accompagner les PME pour définir leurs besoins en formation.
Chaque établissement est rattaché à un OPCO, soit via sa convention collective, soit, en son absence, via une adhésion à l’OPCO dont le champ professionnel correspond à son activité. Des règles spécifiques sont prévues pour l’Outre-Mer.",Etablissement.OperateurCompetences
S21.G00.11 - Etablissement,S21.G00.11.024,Demande de sortie de la DSN,Enumeration,2-2,Non,Sortie_DSN,"Lorsqu'un établissement souhaite sortir du dispositif DSN, il est possible d'en faire la demande aux organismes de Sécurité sociale (MSA, Urssaf CN) en renseignant cette rubrique avec la valeur « 01 - Demande de sortie de la DSN ».",Etablissement.DemandeSortieDSN
S21.G00.12 - Coordonnées bancaires spécifiques,S21.G00.12.001,Type d'usage,Enumeration,2-2,Oui,Type_Usage,Définit les modalités d’utilisation des coordonnées bancaires.,PaiementAide.TypeUsage
S21.G00.12 - Coordonnées bancaires spécifiques,S21.G00.12.002,BIC,Alphanumeric,8-11,Conditionnel,,Il s'agit des coordonnées bancaires au format BIC du compte sur lequel doit être versé le montant des aides émises par un organisme de protection sociale. Cette rubrique s'appuie sur la norme ISO 9362.,PaiementAide.Bic
S21.G00.12 - Coordonnées bancaires spécifiques,S21.G00.12.003,IBAN,Alphanumeric,15-34,Oui,,Il s'agit des coordonnées bancaires au format IBAN du compte sur lequel doit être versé le montant des aides émises par un organisme de protection sociale. Cette rubrique s'appuie sur la norme ISO 13616:2007.,PaiementAide.Iban
S21.G00.15 - Adhésion Prévoyance,S21.G00.15.001,Référence du contrat de Prévoyance,Alphanumeric,1-30,Oui,,"Référence permettant d'identifier le contrat Prévoyance, complémentaire Santé ou Retraite supplémentaire.",PrevoyanceAdhesion.Reference
S21.G00.15 - Adhésion Prévoyance,S21.G00.15.002,Code organisme de Prévoyance,ExternalReferential,5-9,Oui,,"Code de l'institution de prévoyance (sur 5 caractères sous la forme Pnnnn), de la mutuelle (sur 9 caractères numériques), de la société d'assurances (sur 6 caractères sous la forme Axxxxx) ou de l'organisme complémentaire non fédéré par un membre du GIP-MDS (CTIP, FFA, FNMF) (sur 9 caractères alphanumériques dont un au moins est une lettre ), concerné par le contrat référencé.",PrevoyanceAdhesion.Organisme
S21.G00.15 - Adhésion Prévoyance,S21.G00.15.003,Code délégataire de gestion,ExternalReferential,6-6,Conditionnel,,"Organisme tiers à qui l'organisme de Prévoyance a délégué tout ou partie de la gestion du contrat.
Cette rubrique peut être alimentée, en complément du code organisme, uniquement sur instruction spécifique de l'institution de prévoyance, de la mutuelle, de la société d'assurances ou de l'organisme complémentaire non fédéré par un membre du GIP-MDS (CTIP, FFA, FNMF) qui fournira les valeurs à utiliser.",PrevoyanceAdhesion.Delegataire
S21.G00.15 - Adhésion Prévoyance,S21.G00.15.004,Personnel couvert,Enumeration,2-2,Oui,DSN_Personnel_Couvert,"Dans une déclaration mensuelle, précise s'il existe ou non au moins un salarié couvert par ce contrat de Prévoyance, pour la période et l'établissement d'affectation déclarés.

Cette rubrique est renseignée à ""01"" si un salarié au moins est couvert par le contrat référencé en S21.G00.15.001 pour l’établissement d’affectation et le mois déclaré ou à ""02"" s’il n’existe pas ou plus de salarié couvert dans l’établissement. 

L’alimentation du bloc 15 permet d’assurer que la DSN soit adressée à l’organisme de Prévoyance en l’absence de personnel couvert.",PrevoyanceAdhesion.PersonnelCouvert
S21.G00.15 - Adhésion Prévoyance,S21.G00.15.005,Identifiant technique Adhésion,Alphanumeric,1-3,Oui,,"Cet identifiant est interne au message DSN et doit être unique pour chaque adhésion.
Dans une DSN mensuelle, il permet de faire le lien :
- avec les affiliations prévoyance (""Identifiant technique Adhésion - S21.G00.70.013"")
- avec les cotisations établissement (""Référence réglementaire ou contractuelle - S21.G00.82.005"")",PrevoyanceAdhesion.IdentifiantTechniqueAdhesion
S21.G00.16 - Changements destinataire Adhésion Prévoyance,S21.G00.16.001,Date de la modification,Date,8-8,Oui,,La date de modification correspond à la date de survenance du changement de caractéristique de l'Adhésion Prévoyance.,ChangementsDestinataireAdhesionPrevoyance.DateModification
