Nomenclature,Code,Libellé,Commentaire
Prime_DSN_phase_1,10,Indemnité légale spécifique de licenciement,
Prime_DSN_phase_1,11,Indemnité légale de fin de CDD,
Prime_DSN_phase_1,12,Indemnité légale de fin de mission,
Prime_DSN_phase_1,13,Indemnité légale due aux journalistes,
Prime_DSN_phase_1,14,Indemnité légale de clientèle,
Prime_DSN_phase_1,15,Indemnité légale due au personnel naviguant de l'aviation civile,
Prime_DSN_phase_1,16,Indemnité légale versée à l'apprenti,
Prime_DSN_phase_1,17,Dommages et intérêts dus à la non remise du contrat ou dus à un CDD ou à une rupture de période d’essai (délai de prévenance),
Prime_DSN_phase_1,18,Indemnité due en raison d'un sinistre,
Prime_DSN_phase_1,19,Indemnité suite à clause de non concurrence,
Prime_DSN_phase_1,20,Indemnité compensatrice de congés payés,
Prime_DSN_phase_1,21,Indemnité conventionnelle (supplémentaire aux indemnités légales),
Prime_DSN_phase_1,22,Indemnité transactionnelle,
Prime_DSN_phase_1,23,Indemnité compensatrice de préavis payé non effectué,
Prime_DSN_phase_1,25,Indemnité compensatrice des droits acquis dans le cadre d’un compte épargne temps,
Prime_DSN_phase_1,26,Prime exceptionnelle liée à l'activité avec période de rattachement spécifique,
Prime_DSN_phase_1,27,Prime liée à l'activité avec période de rattachement spécifique,
Prime_DSN_phase_1,28,Prime non liée à l'activité,
Prime_DSN_phase_1,29,Prime liée au repos compensateur ou au rachat des jours de RTT avec période de rattachement spécifique,
Prime_DSN_phase_1,30,Prime rachat CET,
Prime_DSN_phase_1,32,Indemnité compensatrice de préavis pour inaptitude suite AT ou Maladie Professionnelle,
Prime_DSN_phase_1,33,Indemnité forfaitaire de conciliation prud’homale,
Prime_DSN_phase_1,34,Indemnité de congés payés (art. D. 3141-32 et D. 3141-33 du Code du travail),
Prime_DSN_phase_1,39,Complément de rémunération à la charge de l'Etat,
Prime_DSN_phase_1,40,[FP] Indemnité mensuelle de technicité,
Prime_DSN_phase_1,41,[FP] Indemnité de sujétions spéciales,
Prime_DSN_phase_1,42,[FP] Indemnité de risque,
Prime_DSN_phase_1,43,[FP] Prime de sujétions spéciales,
Prime_DSN_phase_1,44,[FP] Indemnité de sujétion spécifique,
Prime_DSN_phase_1,45,Dommages et intérêts à la non remise du contrat de mission,
Prime_DSN_phase_1,46,Indemnité de congés payés (art. L. 3141-24 du Code du travail),
Prime_DSN_phase_1,47,[FP] GIPA - Garantie individuelle du pouvoir d'achat,
Prime_DSN_phase_1,48,Indemnité de résidence,
Prime_DSN_phase_1,49,[FP] Supplément familial de traitement,
Prime_DSN_phase_1,50,[FP] RIFSEEP IFSE,
Prime_DSN_phase_1,51,[FP] RIFSEEP CIA,
Prime_DSN_phase_1,52,Supplément de rémunération des agents classe 4 niveau 2 position de rémunération 19,
Prime_DSN_phase_1,53,Supplément de rémunération des agents classe 1 à 3 et 5 à 8,
Prime_DSN_phase_1,54,Supplément de rémunération agents et ex-agents de conduite,
Prime_DSN_phase_1,55,Indemnité transactionnelle exonérée fiscalement,
Prime_DSN_phase_1,900,Indemnité d'expatriation,
Prime_DSN_phase_1,901,Indemnité d'impatriation,
Prime_DSN_phase_1,902,Potentiel nouveau type de prime exceptionnelle de pouvoir d'achat (PEPA),
Prime_DSN_phase_1,903,"Autre prime exonérée de cotisation, contribution sociale et impôt sur le revenu",
Prime_DSN_phase_1,904,Prime de partage de la valeur exonérée socialement et non imposable,
Prime_DSN_phase_1,905,Prime de partage de la valeur exonérée socialement et imposable,
Prime_DSN_phase_1,906,Prime de partage de la valeur soumise à la CSG-CRDS et exonérée socialement et non imposable,
Prime_DSN_phase_1,907,Potentiel nouveau type de prime B,
Prime_DSN_phase_1,908,Potentiel nouveau type de prime C,
Prime_DSN_phase_1,909,Potentiel nouveau type de prime D,
Prime_DSN_phase_1,910,Potentiel nouveau type de prime E,
Prime_DSN_phase_1,911,Potentiel nouveau type de prime A ,
Arret_Motif_DSN_phase_1,1,maladie,
Arret_Motif_DSN_phase_1,2,maternité,
Arret_Motif_DSN_phase_1,3,paternité / accueil de l’enfant,
Arret_Motif_DSN_phase_1,4,congé suite à un accident de trajet,
Arret_Motif_DSN_phase_1,5,congé suite à maladie professionnelle,
Arret_Motif_DSN_phase_1,6,congé suite à accident de travail ou de service,
Arret_Motif_DSN_phase_1,7,femme enceinte dispensée de travail,
Arret_Motif_DSN_phase_1,9,adoption,
Arret_Motif_DSN_phase_1,10,[FP] Congé suite à une maladie imputable au service,
Arret_Motif_DSN_phase_1,11,[FP] Congé de maladie des victimes ou réformés de guerre (art 41) ,
Arret_Motif_DSN_phase_1,12,[FP] Congé de longue durée,
Arret_Motif_DSN_phase_1,13,[FP] Congé de longue maladie,
Arret_Motif_DSN_phase_1,14,[FP] Congé pour invalidité temporaire imputable au service,
Arret_Motif_DSN_phase_1,15,temps partiel thérapeutique (risque maladie),
Arret_Motif_DSN_phase_1,16,temps partiel thérapeutique (risque accident de travail),
Arret_Motif_DSN_phase_1,17,temps partiel thérapeutique (risque accident de trajet),
Arret_Motif_DSN_phase_1,18,temps partiel thérapeutique (risque maladie professionnelle),
Arret_Motif_DSN_phase_1,19,Deuil d'enfant,
Arret_Motif_DSN_phase_1,20,Potentiel nouveau motif d’arrêt A,
Arret_Motif_DSN_phase_1,21,Potentiel nouveau motif d’arrêt B,
Arret_Motif_DSN_phase_1,22,Potentiel nouveau motif d’arrêt C,
Arret_Motif_DSN_phase_1,23,Potentiel nouveau motif d’arrêt D,
Arret_Motif_DSN_phase_1,24,Potentiel nouveau motif d’arrêt E,
Arret_Motif_DSN_phase_1,99,annulation,
DSN_Type_Activite,1,Travail rémunéré,
DSN_Type_Activite,2,Durée d'absence non rémunérée,
DSN_Ref_Code_Cotis,1,Exonération de cotisations au titre de l'emploi d'un apprenti (loi de 1979),
DSN_Ref_Code_Cotis,2,Exonération de cotisations au titre de l'emploi d'un apprenti (loi de 1987),
DSN_Ref_Code_Cotis,3,Exonération de cotisations au titre de l'emploi d'un apprenti (loi de 1992),
DSN_Ref_Code_Cotis,4,Exonération de cotisations au titre de l'emploi d'un salarié en contrat d'accès à l'emploi,
DSN_Ref_Code_Cotis,6,Exonération de cotisations au titre de l'emploi d'un salarié en contrat d'accompagnement dans l'emploi,
DSN_Ref_Code_Cotis,8,Exonération de cotisations au titre de l'emploi d'un salarié en contrat de professionnalisation,
DSN_Ref_Code_Cotis,9,Exonération de cotisations applicable aux associations intermédiaires,
DSN_Ref_Code_Cotis,10,Exonération de cotisations applicable aux entreprises des bassins d'emploi à redynamiser,
DSN_Ref_Code_Cotis,11,Exonération de cotisations applicable au créateur ou repreneur d'entreprise,
DSN_Ref_Code_Cotis,12,Exonération de cotisations applicable dans les DOM,
DSN_Ref_Code_Cotis,13,Exonération de cotisations applicable aux entreprises et associations d'aide à domicile,
DSN_Ref_Code_Cotis,14,"Exonérations de cotisations applicable aux entreprises innovantes, universitaires ou de croissance ",
DSN_Ref_Code_Cotis,15,Exonération de cotisations applicable aux entreprises en zones franches urbaines,
DSN_Ref_Code_Cotis,16,Exonération de cotisations applicable aux organismes d'intérêt général en zones de revitalisation rurale,
DSN_Ref_Code_Cotis,17,Exonération de cotisations applicable aux structures agréées de l'aide sociale,
DSN_Ref_Code_Cotis,18,Réduction générale des cotisations patronales de sécurité sociale et d'assurance chômage,
DSN_Ref_Code_Cotis,19,Réduction de cotisations applicable aux entreprises des zones de restructuration de la défense,
DSN_Ref_Code_Cotis,20,Réduction de cotisations au titre de l'embauche du 1er au 50ème salarié en zones de revitalisation rurale,
DSN_Ref_Code_Cotis,21,Déduction patronale au titre des heures supplémentaires,
DSN_Ref_Code_Cotis,22,Exonération de cotisations applicable à une gratification de stage,
DSN_Ref_Code_Cotis,23,"Exonération de cotisation des sommes provenant d'un CET et réaffectées à un plan d'épargne retraite (PERCO, PERECO, PEREO) ou à un régime de retraite supplémentaire",
DSN_Ref_Code_Cotis,25,Exonération de cotisations au titre de l’emploi d’un salarié en chantier et atelier d'insertion,
DSN_Ref_Code_Cotis,27,"Exonération Personnel technique CUMA, hors ateliers",
DSN_Ref_Code_Cotis,28,Réduction Travailleur Occasionnel,
DSN_Ref_Code_Cotis,29,Réduction employeurs petit pool IEG,
DSN_Ref_Code_Cotis,30,Cotisation employeurs régime spécial maladie IEG Complémentaire,
DSN_Ref_Code_Cotis,31,Cotisation salariés régime spécial maladie IEG Complémentaire,
DSN_Ref_Code_Cotis,32,Cotisation salariés régime maladie IEG spécial Solidarité,
DSN_Ref_Code_Cotis,33,Cotisation employeurs complément d'invalidité IEG,
DSN_Ref_Code_Cotis,34,Cotisation employeurs régime de droit commun IEG (population adossée),
DSN_Ref_Code_Cotis,35,Cotisation employeurs régime spécial IEG (population adossée),
DSN_Ref_Code_Cotis,36,Cotisation employeurs régime spécial IEG (population non adossée),
DSN_Ref_Code_Cotis,37,Cotisation salariés régime de droit commun IEG (population adossée),
DSN_Ref_Code_Cotis,38,Cotisation salariés régime spécial IEG (population non adossée),
DSN_Ref_Code_Cotis,39,Cotisations employeurs petit pool IEG,
DSN_Ref_Code_Cotis,40,Cotisation AC : assurance chômage sur rémunérations brutes après déduction,
DSN_Ref_Code_Cotis,41,"Cotisation AC majorée 1 : application d’une majoration AC + 0,5% sur les contrats d’usage inférieurs ou égaux à 3 mois",
DSN_Ref_Code_Cotis,42,Cotisation AC majorée 2 : application d’une majoration AC + 3% sur les contrats d’accroissement temporaire d’activité inférieurs ou égaux à 1 mois,
DSN_Ref_Code_Cotis,43,"Cotisation AC majorée 3 : application d’une majoration AC + 1,5% sur les contrats d’accroissement temporaire d’activité supérieurs à 1 mois mais inférieurs ou égaux à 3 mois",
DSN_Ref_Code_Cotis,44,Exonération de cotisation chômage pour les moins de 26 ans,
DSN_Ref_Code_Cotis,45,Cotisation Accident du travail,
DSN_Ref_Code_Cotis,46,Cotisation AEF Bourse de l'emploi,
DSN_Ref_Code_Cotis,47,Cotisation AEF CESA,
DSN_Ref_Code_Cotis,48,Cotisation AGS : assurance garantie des salaires sur rémunérations brutes après déduction,
DSN_Ref_Code_Cotis,49,Cotisation Allocation de logement (FNAL),
DSN_Ref_Code_Cotis,51,Cotisation Formation professionnelle ADEFA,
DSN_Ref_Code_Cotis,53,Cotisation Formation professionnelle additionnelle FAFSEA,
DSN_Ref_Code_Cotis,54,Cotisation Formation professionnelle AREFA,
DSN_Ref_Code_Cotis,56,Cotisation Formation professionnelle FAFSEA,
DSN_Ref_Code_Cotis,57,Cotisation Formation professionnelle FAFSEA CDD,
DSN_Ref_Code_Cotis,58,Cotisation Formation professionnelle FAFSEA des communes forestières,
DSN_Ref_Code_Cotis,59,Cotisation individuelle Prévoyance-Assurance-Mutuelle pour la période et l'affiliation concernées,
DSN_Ref_Code_Cotis,60,Cotisation IRCANTEC Tranche A,
DSN_Ref_Code_Cotis,61,Cotisation IRCANTEC Tranche B,
DSN_Ref_Code_Cotis,65,Cotisation CRPCEN,
DSN_Ref_Code_Cotis,66,Cotisation caisse de congés spectacles,
DSN_Ref_Code_Cotis,68,Contribution solidarité autonomie,
DSN_Ref_Code_Cotis,69,Contribution sur avantage de pré-retraite entreprise à dater du 11/10/2007 (CAPE),
DSN_Ref_Code_Cotis,70,Contribution sur avantage de pré-retraite entreprise aux taux normal (CAPE),
DSN_Ref_Code_Cotis,71,Contribution forfait social,
DSN_Ref_Code_Cotis,72,Contribution sociale généralisée/salaires partiellement déductibles,
DSN_Ref_Code_Cotis,73,CSG/CRDS sur participation intéressement épargne salariale,
DSN_Ref_Code_Cotis,74,Cotisation Allocation familiale - taux normal  ,
DSN_Ref_Code_Cotis,75,Cotisation Assurance Maladie,
DSN_Ref_Code_Cotis,76,Cotisation Assurance Vieillesse,
DSN_Ref_Code_Cotis,77,Montant de la retenue à la source effectuée sur les salaires versés aux personnes domiciliées hors de France,
DSN_Ref_Code_Cotis,78,Pénalité de 1% emploi sénior,
DSN_Ref_Code_Cotis,79,Remboursement de la dette sociale,
DSN_Ref_Code_Cotis,81,Versement mobilité,
DSN_Ref_Code_Cotis,82,Versement mobilité additionnel,
DSN_Ref_Code_Cotis,88,Exonération versement mobilité,
DSN_Ref_Code_Cotis,89,Exonération Contrat Initiative Emploi,
DSN_Ref_Code_Cotis,90,Exonération accueillants familiaux,
DSN_Ref_Code_Cotis,91,Cotisation Service de santé au travail,
DSN_Ref_Code_Cotis,92,Cotisation Association pour l'emploi des cadres ingénieurs et techniciens de l'agriculture (APECITA),
DSN_Ref_Code_Cotis,93,Contribution sur indemnités de mise à la retraite ou de rupture conventionnelle individuelle,
DSN_Ref_Code_Cotis,94,Exonération cotisations Allocations familiales (SICAE),
DSN_Ref_Code_Cotis,96,Cotisation CRPNPAC au fonds de retraite,
DSN_Ref_Code_Cotis,97,Cotisation CRPNPAC au fonds d'assurance,
DSN_Ref_Code_Cotis,98,Cotisation CRPNPAC au fonds de majoration,
DSN_Ref_Code_Cotis,99,Contribution stock options,
DSN_Ref_Code_Cotis,100,Contribution au financement du dialogue social,
DSN_Ref_Code_Cotis,101,Association Mutualisation du Coût Inaptitude,
DSN_Ref_Code_Cotis,102,Complément de cotisation Allocation Familiale,
DSN_Ref_Code_Cotis,103,Contribution actions gratuites,
DSN_Ref_Code_Cotis,104,Pénibilité Cotisation de base,
DSN_Ref_Code_Cotis,105,"Montant de cotisation Régime Unifié Agirc-Arrco, y compris Apec",
DSN_Ref_Code_Cotis,106,Réduction générale des cotisations patronales de retraite complémentaire,
DSN_Ref_Code_Cotis,107,Forfait marin ,
DSN_Ref_Code_Cotis,108,Demi-rôle marin,
DSN_Ref_Code_Cotis,109,Exonération de cotisations salariales de retraite complémentaire au titre de l'emploi d'un apprenti,
DSN_Ref_Code_Cotis,110,Exonération de cotisations patronales de retraite complémentaire applicable dans les DOM (LODEOM) SMIC 130% à 220% ,
DSN_Ref_Code_Cotis,111,Exonération de cotisations de retraite complémentaire applicable aux entreprises et associations d'aide à domicile,
DSN_Ref_Code_Cotis,112,Exonération de cotisations patronales de retraite complémentaire applicable dans les DOM (LODEOM) SMIC 170% à 270%,
DSN_Ref_Code_Cotis,113,Exonération de cotisations patronales de retraite complémentaire applicable dans les DOM (LODEOM) SMIC 170% à 350%,
DSN_Ref_Code_Cotis,114,Montant de réduction des heures supplémentaires/complémentaires,
DSN_Ref_Code_Cotis,115,Cotisation Assurance Maladie pour le Régime Local Alsace Moselle,
DSN_Ref_Code_Cotis,116,Cotisation absente de la norme en cas de régularisation prud'homale,
DSN_Ref_Code_Cotis,128,Contribution à la formation professionnelle (CFP),
DSN_Ref_Code_Cotis,129,Contribution dédiée au financement du Compte Personnel de Formation pour les titulaires de CDD (CPF-CDD),
DSN_Ref_Code_Cotis,130,Part principale de la taxe d'apprentissage,
DSN_Ref_Code_Cotis,131,Cotisation régime unifié Agirc-Arrco,
DSN_Ref_Code_Cotis,132,Cotisation Apec,
DSN_Ref_Code_Cotis,133,Contribution maladie spécifique Mayotte,
DSN_Ref_Code_Cotis,142,Cotisation régime unifié Agirc-Arrco (part patronale tranche T1),
DSN_Ref_Code_Cotis,143,Contribution au compte professionnel de prévention (C2P),
DSN_Ref_Code_Cotis,300,[FP] Cotisations normales (part salariale),
DSN_Ref_Code_Cotis,301,[FP] Cotisations normales (part patronale),
DSN_Ref_Code_Cotis,302,[FP] Surcotisation huit trimestres (part salariale),
DSN_Ref_Code_Cotis,303,[FP] Validation de services (part salariale),
DSN_Ref_Code_Cotis,304,[FP] Cotisations Nouvelle Bonification Indiciaire (part salariale),
DSN_Ref_Code_Cotis,305,[FP] Cotisations Nouvelle Bonification Indiciaire (part patronale),
DSN_Ref_Code_Cotis,306,[FP] Cotisations sur indemnité de feu (part salariale),
DSN_Ref_Code_Cotis,307,[FP] Cotisations sur indemnité de feu (part patronale),
DSN_Ref_Code_Cotis,308,[FP] Cotisation sur bonification sapeur pompier (part salariale),
DSN_Ref_Code_Cotis,309,[FP] Cotisation sur prime sur sujetion des aides soignantes (part salariale),
DSN_Ref_Code_Cotis,310,[FP] Cotisation sur prime sur sujetion des aides soignantes (part patronale),
DSN_Ref_Code_Cotis,311,[FP] Cotisation RAFP (part salariale),
DSN_Ref_Code_Cotis,312,[FP] Cotisation RAFP (part patronale),
DSN_Ref_Code_Cotis,313,[FP] Cotisations pour pension sur ISS ou PSS (part salariale),
DSN_Ref_Code_Cotis,314,[FP] Cotisations pour pension sur ISS ou PSS (part patronale),
DSN_Ref_Code_Cotis,315,[FP] Cotisations pour pension sur IR (part salariale),
DSN_Ref_Code_Cotis,316,[FP] Cotisations pour pension sur IR (part patronale),
DSN_Ref_Code_Cotis,317,[FP] Cotisations pour pension sur IMT (part salariale),
DSN_Ref_Code_Cotis,318,[FP] Cotisations pour pension sur IMT (part patronale),
DSN_Ref_Code_Cotis,319,[FP] Cotisations pour l'allocation temporaire d'invalidité (part patronale),
DSN_Ref_Code_Cotis,320,[FP] Surcotisation (part salariale),
DSN_Ref_Code_Cotis,321,[FP] Rachat des années d'études (part salariale),
DSN_Ref_Code_Cotis,322,[FP] Exonération de cotisation pour heures d’aide à domicile (part patronale),
DSN_Ref_Code_Cotis,323,[FP] Cotisation RAEP (part patronale),
DSN_Ref_Code_Cotis,324,[FP] Cotisation RAEP (part salariale),
DSN_Ref_Code_Cotis,325,[FP] Validation de services (part patronale),
DSN_Ref_Code_Cotis,326,[FP] Régularisation de service (part salariale),
DSN_Ref_Code_Cotis,327,[FP] Régularisation de service (part patronale) ,
DSN_Ref_Code_Cotis,330,Régime de base forfaitaire CNBF,
DSN_Ref_Code_Cotis,331,Régime de base proportionnelle CNBF,
DSN_Ref_Code_Cotis,332,Régime complémentaire CNBF,
DSN_Ref_Code_Cotis,333,Cotisation contrat d’emploi pénitentiaire 1,
DSN_Ref_Code_Cotis,334,Cotisation contrat d’emploi pénitentiaire 2,
DSN_Ref_Code_Cotis,901,Cotisation épargne retraite,
DSN_Ref_Code_Cotis,902,Contribution à la formation professionnelle des Artisans assimilés salariés,
DSN_Ref_Code_Cotis,903,Cotisation AFNCA,
DSN_Ref_Code_Cotis,904,Cotisation ANEFA,
DSN_Ref_Code_Cotis,905,Cotisation ASCPA ,
DSN_Ref_Code_Cotis,906,Cotisation PROVEA,
DSN_Ref_Code_Cotis,907, Complément de cotisation Assurance Maladie,
DSN_Ref_Code_Cotis,908,Taxe forfaitaire CDDU Assurance Chômage,
DSN_Ref_Code_Cotis,909,Cotisation au titre du financement des régimes de retraites supplémentaires à prestation définies,
DSN_Ref_Code_Cotis,910,Exonération de cotisations patronales pour les entreprises affectées par la crise sanitaire,
DSN_Ref_Code_Cotis,911,Réduction de cotisations patronales pour les entreprises du secteur de la vigne affectées par la crise sanitaire,
DSN_Ref_Code_Cotis,912,Exonération du forfait social à 10%,
DSN_Ref_Code_Cotis,913,Indemnité inflation,
DSN_Ref_Code_Cotis,914,Potentielle nouvelle cotisation A,
DSN_Ref_Code_Cotis,915,Potentielle nouvelle cotisation B,
DSN_Ref_Code_Cotis,916,Potentielle nouvelle cotisation C,
DSN_Ref_Code_Cotis,917,Potentielle nouvelle cotisation D,
DSN_Ref_Code_Cotis,918,Potentielle nouvelle cotisation E,
DSN_NatureContrat,1,Contrat de travail à durée indéterminée de droit privé,
DSN_NatureContrat,2,Contrat de travail à durée déterminée de droit privé,
DSN_NatureContrat,3,Contrat  de mission (contrat de travail temporaire),
DSN_NatureContrat,7,Contrat à durée indéterminée intermittent,
DSN_NatureContrat,8,Contrat à durée indéterminée intérimaire,
DSN_NatureContrat,9,Contrat de travail à durée indéterminée de droit public,
DSN_NatureContrat,10,Contrat de travail à durée déterminée de droit public,
DSN_NatureContrat,20,[FP] Détachement d’un agent d’une Fonction Publique donnant lieu à pension (ECP),
DSN_NatureContrat,21,[FP] Détachement d’un agent d’une Fonction Publique ne donnant pas lieu à pension (ENCP),
DSN_NatureContrat,29,Convention de stage (hors formation professionnelle),
DSN_NatureContrat,32,Contrat d’appui au projet d’entreprise,
DSN_NatureContrat,50,"Nomination dans la fonction publique (par arrêté, par décision,…)",
DSN_NatureContrat,51,Contrat de mission d’un collaborateur occasionnel du service public (COSP) ou assimilé,
DSN_NatureContrat,52,[FP] Cumul d’activité à titre accessoire,
DSN_NatureContrat,53,Contrat d'emploi pénitentiaire,
DSN_NatureContrat,54,Contrat d'emploi pénitentiaire en apprentissage,
DSN_NatureContrat,60,Contrat d'engagement éducatif,
DSN_NatureContrat,70,Contrat de soutien et d'aide par le travail,
DSN_NatureContrat,80,Mandat social,
DSN_NatureContrat,81,Mandat d'élu,
DSN_NatureContrat,82,Contrat de travail à durée indéterminée de Chantier ou d'opération,
DSN_NatureContrat,89,Volontariat de service civique,
DSN_NatureContrat,90," Autre nature de contrat, convention, mandat",
DSN_NatureContrat,91,Contrat d'engagement maritime à durée indéterminée,
DSN_NatureContrat,92,Contrat d'engagement maritime à durée déterminée,
DSN_NatureContrat,93,Ligne de service,
DSN_NiveauFormationPlusEleveIndividu,1,Formation n'allant pas au-delà de la scolarité obligatoire (16 ans),
DSN_NiveauFormationPlusEleveIndividu,2,Formation d'une durée maximale d'un an après le collège,
DSN_NiveauFormationPlusEleveIndividu,3,Niveau de formation équivalent au CAP (certificat d'aptitude professionnelle) ou au BEP (brevet d'études professionnelles),
DSN_NiveauFormationPlusEleveIndividu,4,"Formation de niveau du bac (général, technologique ou professionnel), du brevet de technicien (BT) ou du brevet professionnel",
DSN_NiveauFormationPlusEleveIndividu,5,"Formation de niveau bac+2 : licence 2, BTS (brevet de technicien supérieur), DUT (diplôme universitaire de technologie), etc.",
DSN_NiveauFormationPlusEleveIndividu,6,"Formation de niveau bac+3 et bac+4 : licence 3, licence professionnelle, master 1, etc.",
DSN_NiveauFormationPlusEleveIndividu,7,"Formation de niveau bac+5 : master 2, diplôme d'études approfondies, diplôme d'études supérieures spécialisées, diplôme d'ingénieur, etc.",
DSN_NiveauFormationPlusEleveIndividu,8,"Formation de niveau bac+8 : doctorat, habilitation à diriger des recherches, etc.",
DSN_Enum_Complement_Base_Assujettie_2_2,1,"Montant du SMIC retenu pour le calcul de la Réduction générale des cotisations patronales de sécurité sociale, de retraite complémentaire et d'assurance chômage",
DSN_Enum_Complement_Base_Assujettie_2_2,2,Montant du SMIC retenu pour le calcul du crédit d'impôt compétitivité-emploi,
DSN_Enum_Complement_Base_Assujettie_2_2,3,Contributions patronales à des régimes complémentaires de retraite,
DSN_Enum_Complement_Base_Assujettie_2_2,4,Contributions patronales destinées au financement des prestations de prévoyance complémentaire,
DSN_Enum_Complement_Base_Assujettie_2_2,5,Contributions patronales destinées au financement des prestations de retraite supplémentaire,
DSN_Enum_Complement_Base_Assujettie_2_2,6,Plafond calculé pour salarié poly-employeurs,
DSN_Enum_Complement_Base_Assujettie_2_2,7,Plafond de Sécurité Sociale appliqué,
DSN_Enum_Complement_Base_Assujettie_2_2,10,Salaire brut Prévoyance,
DSN_Enum_Complement_Base_Assujettie_2_2,11,Tranche A Prévoyance,
DSN_Enum_Complement_Base_Assujettie_2_2,12,Tranche 2 Prévoyance,
DSN_Enum_Complement_Base_Assujettie_2_2,13,Tranche B Prévoyance,
DSN_Enum_Complement_Base_Assujettie_2_2,14,Tranche C Prévoyance,
DSN_Enum_Complement_Base_Assujettie_2_2,15,Tranche D Prévoyance,
DSN_Enum_Complement_Base_Assujettie_2_2,16,Tranche D1 Prévoyance,
DSN_Enum_Complement_Base_Assujettie_2_2,17,Base spécifique Prévoyance,
DSN_Enum_Complement_Base_Assujettie_2_2,18,Base forfaitaire Prévoyance,
DSN_Enum_Complement_Base_Assujettie_2_2,19,Base fictive Prévoyance reconstituée,
DSN_Enum_Complement_Base_Assujettie_2_2,20,Montant forfaitaire Prévoyance,
DSN_Enum_Complement_Base_Assujettie_2_2,21,Montant Prévoyance libre ou exceptionnel,
DSN_Enum_Complement_Base_Assujettie_2_2,22,Montant des indemnités journalières CRPCEN,
DSN_Enum_Complement_Base_Assujettie_2_2,23,Sans composant de base assujettie en paie,
